,productId,date,seller,price,link
324,11276,2023-04-27,coslovemetics,466,https://coslovemetics.mk/product/marymay-cica-tea-tree-soothing-wash-off-pack-30g/
325,10925,2023-04-27,coslovemetics,1390,https://coslovemetics.mk/product/cp-1-head-spa-scalp-scaler-250ml/
326,11229,2023-04-27,coslovemetics,987,https://coslovemetics.mk/product/some-by-mi-aha-bha-pha-30-days-miracle-serum-50-ml/
327,10999,2023-04-27,coslovemetics,339,https://coslovemetics.mk/product/farm-stay-snail-repair-eye-cream-40g/
328,10973,2023-04-27,coslovemetics,552,https://coslovemetics.mk/product/cosrx-master-patch-intensive-36pcs/
329,11314,2023-04-27,yeppeuda,1260,https://yeppeuda.mk/p/127/ac-fighting-oil-free-aqua-cream-80ml
330,11552,2023-04-27,yeppeuda,670,https://yeppeuda.mk/p/258/body-scrub-sunny-orange-sorbet-200gr
331,11341,2023-04-27,coslovemetics,450,https://coslovemetics.mk/product/eyenlip-niacin-vita-b-squeeze-ampoule-30ml/
332,11512,2023-04-27,yeppeuda,390,https://yeppeuda.mk/p/396/argan-oil-body-lotion-150ml
333,11280,2023-04-27,coslovemetics,1040,https://coslovemetics.mk/product/marymay-vitamine-b5-bifida-toner-120ml/
334,11435,2023-04-27,coslovemetics,2490,https://coslovemetics.mk/product/dr-jart-cicapair-sleepair-ampoule-in-mask-110ml/
335,11312,2023-04-27,yeppeuda,1060,https://yeppeuda.mk/p/366/tocobo-aha-bha-lemon-toner
336,11329,2023-04-27,coslovemetics,1224,https://coslovemetics.mk/product/tiam-vita-a-anti-wrinkle-moisturizer-80ml/
337,10881,2023-04-27,coslovemetics,923,https://coslovemetics.mk/product/purito-from-green-deep-foaming-cleanser/
338,11175,2023-04-27,coslovemetics,1083,https://coslovemetics.mk/product/benton-aloe-propolis-soothing-gel-100ml/
339,11594,2023-04-27,yeppeuda,840,https://yeppeuda.mk/p/371/emollient-mask-for-high-porosity-hair-200-ml
340,11529,2023-04-27,yeppeuda,660,https://yeppeuda.mk/p/337/nacomi-next-level-eye-lifting-serum-15ml
341,11145,2023-04-27,coslovemetics,1381,https://coslovemetics.mk/product/unleashia-glitterpedia-eye-palette-n2-all-of-brown/
342,11328,2023-04-27,yeppeuda,920,https://yeppeuda.mk/p/141/snail-azulene-water-essence-180ml
343,11440,2023-04-27,coslovemetics,1331,https://coslovemetics.mk/product/pyunkang-yul-black-tea-time-reverse-eye-cream-25ml/
344,11167,2023-04-27,coslovemetics,260,https://coslovemetics.mk/product/laneige-cream-skin-refiner-mist-25ml/
345,10972,2023-04-27,yeppeuda,790,https://yeppeuda.mk/p/434/cosrx-low-ph-good-morning-gel-cleanser-150ml
346,11476,2023-04-27,yeppeuda,990,https://yeppeuda.mk/p/476/emollient-cream-for-kids-and-baby
347,10893,2023-04-27,coslovemetics,748,https://coslovemetics.mk/product/missha-all-around-safe-block-cotton-sun-spf50-50ml/
348,10835,2023-04-27,coslovemetics,1176,https://coslovemetics.mk/product/one-thing-moisture-plus-cream-50ml/
